id,short_name,account_name,address,pan_number,balance,phone_number,email,contact_name,group,collector,guarantee_world_insurer,credit_limit,overdue120,grant_period,pause
,,Bizendra Shrestha,,,0,,,,Normal,,,0,0,0,0
,,Bizhub It Service Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Black Tech Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,B. Link Information and Communication Technology,,,0,,,,Normal,,,0,0,0,0
,,Bluefox Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,BNB lakeview Resort Apartment Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,BN Holidays Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,BNP Suppliers,,,0,,,,Normal,,,0,0,0,0
,,BNRO Traders Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Bolochowk Multipurpose Co-operative Sanstha Ltd,,,0,,,,Normal,,,0,0,0,0
,,BP gautam,,,0,,,,Normal,,,0,0,0,0
,,Bp Koirala School of Public Policy,,,0,,,,Normal,,,0,0,0,0
,,B.P Medico,,,0,,,,Normal,,,0,0,0,0
,,B.P. Smriti Community Co-operative Hospital Ltd.,,,0,,,,Normal,,,0,0,0,0
,,BRAC International Nepal,,,0,,,,Normal,,,0,0,0,0
,,Brahmapuri Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,BrainDigit IT Solution Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Brand Ad Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Brandlancer Global Advertising Company Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Bravo Digital World Pvt. Ltd.,,,0,,,,Normal,4,,0,0,0,0
,,BRB MOTORSCORP PVT LTD,,,0,,,,Normal,,,0,0,0,0
,,Break Station Pvt.Ltd,,,0,,,,Normal,,,0,0,0,0
,,Bridgewater International College Pvt. Ltd.,,,0,,,,Normal,4,,0,0,0,0
,,Bright Future Technical Education Foundation Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Brihat Phedi Khola Samparka Samaj,,,0,,,,Normal,,,0,0,0,0
,,Brihat Shaikshik Bikash Multipurpose Co Operative Society Ltd,,,0,,,,Normal,,,0,0,0,0
,,Brij Cement Industries Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Brilliant Books and Distribution Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Brisha Enterprises Pvt.Ltd,,,0,,,,Normal,,,0,0,0,0
,,Broadlink Network & Communication Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Broadway Infosys (P) Ltd,,,0,,,,Normal,,,0,0,0,0
,,BRT Inframatic Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,BSS Computer Learning Center Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Buddha Air Pvt. Ltd.,,,0,,,,Normal,6,,0,0,0,0
,,Buddha City Multipurpose Co-operative Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Budhanilkantha Municipality,,,0,,,,Normal,,,0,0,0,0
,,Budhanilkantha School,,,0,,,,Normal,,,0,0,0,0
,,Budhanilkantha Yatayat Pvt.Ltd,,,0,,,,Normal,,,0,0,0,0
,,Bullet Traders Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Business Growth Company Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Butterstudios Technologies PVT LTD,,,0,,,,Normal,,,0,0,0,0
,,Butwal Auto Engineering Association,,,0,,,,Normal,,,0,0,0,0
,,Butwal Can,,,0,,,,Normal,,,0,0,0,0
,,Butwal Link Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,ByIndependent Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Bylndependent Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Cafe De Tukuche Nepal,,,0,,,,Normal,,,0,0,0,0
,,Cage Total Fitness,,,0,,,,Normal,,,0,0,0,0
,,Calcgen Nepal Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Camad College,,,0,,,,Normal,,,0,0,0,0
,,Campion Academy,,,0,,,,Normal,,,0,0,0,0
,,Campion School Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Capital Market Technologies Pvt Ltda,,,0,,,,Normal,,,0,0,0,0
,,Care Courier and Cargo Service Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Career Key Consultancy Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Career Publishers and Distributors Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Careway Medical Clinic Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Carina Motors Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Carina Service and Spares Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Carpet House Worldwide Export,,,0,,,,Normal,,,0,0,0,0
,,Cedar Gate Services Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Celandine Academy,,,0,,,,Normal,,,0,0,0,0
,,Cell App (P0 Ltd,,,0,,,,Normal,,,0,0,0,0
,,Center for Democratic Engineers Nepal Lumbini Province,,,0,,,,Normal,,,0,0,0,0
,,Central Department of Civil Engineering,,,0,,,,Normal,,,0,0,0,0
,,"Central Department of Computer Science and Information Technology, Far Western University",,,0,,,,Normal,,,0,0,0,0
,,Central Level Project Implementation Unit,,,0,,,,Normal,,,0,0,0,0
,,Central Service Center Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Centre for Crop Development and Agro Bio-diversity Conservation,,,0,,,,Normal,,,0,0,0,0
,,Ce Real State (P) Ltd,,,0,,,,Normal,,,0,0,0,0
,,Certified College of Accountancy Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,CG Cement Industries,,,0,,,,Normal,,,0,0,0,0
,,CG Digital Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,CG Foods Enterprise Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,CG Impex Pvt. Ltd.,,,0,,,,Normal,4,,0,0,0,0
,,CG Motors Pvt.ltd,,,0,,,,Normal,,,0,0,0,0
,,Chaata Ganesh Ornaments Pvt Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Chaitanya Academy Nepal Pvt.Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Chamero Saving and Credit Cooperative Limited,,,0,,,,Normal,,,0,0,0,0
,,Chandan Raj Sharma,,,0,,,,Normal,,,0,0,0,0
,,Chandragiri Digital Print,,,0,,,,Normal,,,0,0,0,0
,,Chandragiri Municipality,,,0,,,,Normal,,,0,0,0,0
,,Chandra Nath Gautam,,,0,,,,Normal,,,0,0,0,0
,,Chasma Ghar Nepal Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Chaudhary Techno Traders,,,0,,,,Normal,,,0,0,0,0
,,Chaukat Devi Mill,,,0,,,,Normal,,,0,0,0,0
,,Chaurideurali Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Chautara Sangachokgadhi Municipality,,,0,,,,Normal,6,,0,0,0,0
,,Cheerful Holiday Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Cheers Enterprise Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Chepe Khola Khanepani tatha Sarasafai Sahalagani Upabhokta Samiti,,,0,,,,Normal,,,0,0,0,0
,,Chhaya Books and Multimedia,,,0,,,,Normal,,,0,0,0,0
,,Chheskam Secondary School,,,0,,,,Normal,,,0,0,0,0
,,Chhigu Choice Collection Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Chhipchhipe Consumer Co-Operative Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Chhito Charge Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Chief Electoral Officer Gamgadhi Mugu,,,0,,,,Normal,,,0,0,0,0
,,Chirag Goyal,,,0,,,,Normal,,,0,0,0,0
,,Chiranjivi Timsina,,,0,,,,Normal,,,0,0,0,0
,,Cho Rolpa construction pvt.ltd,,,0,,,,Normal,,,0,0,0,0
,,Chulachuli Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Chure Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,Churiyamai Carriers Pvt.Ltd.,,,0,,,,Normal,,,0,0,0,0
,,cimex inc pvt ltd,,,0,,,,Normal,,,0,0,0,0
,,CIPLA LIMITED,,,0,,,,Normal,6,,0,0,0,0
,,Citizen Infotech Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Citizen Life Insurance Co. Ltd.,,,0,,,,Normal,4,,0,0,0,0
,,City Express Money Transfer Japan Co. Ltd.,,,0,,,,Normal,6,,0,0,0,0
,,Citytech Group Pvt Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Civil Aviation Academy,,,0,,,,Normal,3,,0,0,0,0
,,Civil Bank Ltd,,,0,,,,Normal,,,0,0,0,0
,,Civil RMC & Precast,,,0,,,,Normal,,,0,0,0,0
,,Civil Sathi Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,CIWEC Hospital Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,CK Cinemas Pvt.Ltd,,,0,,,,Normal,,,0,0,0,0
,,Clamphook Academy Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Classic Enterprises Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Classic Tech Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Clean Services,,,0,,,,Normal,,,0,0,0,0
,,Clinchtech Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Clinic One Kathmandu Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Cloud Tech IT Solution Pvt ltd,,,0,,,,Normal,,,0,0,0,0
,,CNET TRAVEL PVT. LTD.,,,0,,,,Normal,,,0,0,0,0
,,Codeheal Technologies,,,0,,,,Normal,,,0,0,0,0
,,Codehub Education and Technology,,,0,,,,Normal,,,0,0,0,0
,,Code Logic technologies Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Codesparks Technology pvt ltd,,,0,,,,Normal,,,0,0,0,0
,,Codeware Lab Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Coffee Coders Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,College For Professional Studies Pvt. Ltd.,,,0,,,,Normal,6,,0,0,0,0
,,College Of Biomedical Engineering and Applied Sciences Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Columbus School and College Private Limited,,,0,,,,Normal,,,0,0,0,0
,,Committed Entrepreneur Realestate Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Communicate Media (P) Ltd,,,0,,,,Normal,,,0,0,0,0
,,Communist Party Of Nepal UML,,,0,,,,Normal,,,0,0,0,0
,,Computer Care,,,0,,,,Normal,,,0,0,0,0
,,Confederation of Nepalese Industries,,,0,,,,Normal,,,0,0,0,0
,,Connect Australian Education and Visa Services,,,0,,,,Normal,,,0,0,0,0
,,Connect Globe Education Group Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Continental Trading Enterprises Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Core food and beverage PVT.LTD,,,0,,,,Normal,,,0,0,0,0
,,Cosmos College of Management and Technology,,,0,,,,Normal,,,0,0,0,0
,,Cotton on Nepal Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Coy Mistress,,,0,,,,Normal,,,0,0,0,0
,,CPN UML,,,0,,,,Normal,,,0,0,0,0
,,CPN UML Nuwakot,,,0,,,,Normal,,,0,0,0,0
,,Crave Kathmandu Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Creative Theme Nepal Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,"Creative World Digital Pvt ltd
",,,0,,,,Normal,,,0,0,0,0
,,Crown Foods Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Crystal Dental Hospital,,,0,,,,Normal,,,0,0,0,0
,,Crystal Solution,,,0,,,,Normal,,,0,0,0,0
,,CTEVT Province Office Province No.3,,,0,,,,Normal,,,0,0,0,0
,,Cupping and Manual Therapy in Nepal,,,0,,,,Normal,,,0,0,0,0
,,Curio Custom Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Cyber & Libary Services,,,0,,,,Normal,,,0,0,0,0
,,Cyberlink Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Cycle City Network Nepal,,,0,,,,Normal,,,0,0,0,0
,,CYC Multipurpose Cooperative Sanstha Ltd,,,0,,,,Normal,,,0,0,0,0
,,CYC Nepal Baglung Municplity,,,0,,,,Normal,,,0,0,0,0
,,CYC Nepal Laghubitta Bittiya Sanstha Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Cyurus Education,,,0,,,,Normal,,,0,0,0,0
,,Daayitwa,,,0,,,,Normal,,,0,0,0,0
,,Dailekh sewa samaj,,,0,,,,Normal,,,0,0,0,0
,,Dailomaa Multipurpose pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Dai Nepal,,,0,,,,Normal,,,0,0,0,0
,,Daknup Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Dakshinkali Investment & Securities Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Dakshya Engineering Construction Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Damak Bahumukhi Sahakari Sanstha Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Damber Singh Mal,,,0,,,,Normal,,,0,0,0,0
,,Danfe Developers,,,0,,,,Normal,,,0,0,0,0
,,Dang Feed Industries Pvt.Ltd,,,0,,,,Normal,,,0,0,0,0
,,Danson Solutions Pvt LTD,,,0,,,,Normal,,,0,0,0,0
,,Daraz Kaymu Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Darpan Nepal Dot Com Pvt.Ltd,,,0,,,,Normal,,,0,0,0,0
,,Darpan Saving and Credit Co-operative Society Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Darshantech (P) Ltd,,,0,,,,Normal,,,0,0,0,0
,,Dash Logistics Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Dashrathchand Municipality`,,,0,,,,Normal,,,0,0,0,0
,,Datalystic (P) Ltd,,,0,,,,Normal,,,0,0,0,0
,,D.A.V. College Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,DAV RB Kedia-Birgunj,,,0,,,,Normal,,,0,0,0,0
,,Dav Sushil Kedia Vishwa Bharti Educational Private Trust,,,0,,,,Normal,,,0,0,0,0
,,Dawate Islami Nepal,,,0,,,,Normal,,,0,0,0,0
,,deepak podel,,,0,,,,Normal,,,0,0,0,0
,,Deep Electronics,,,0,,,,Normal,,,0,0,0,0
,,Deerwalk Compware Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Deerwalk Group Limited,,,0,,,,Normal,,,0,0,0,0
,,Delight Security Services Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Delta Autocorp Pvt Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Dental Villa,,,0,,,,Normal,,,0,0,0,0
,,"Department of Commerce, Supply and Consumer Protection",,,0,,,,Normal,3,,0,0,0,0
,,Department of Consular Services,,,0,,,,Normal,,,0,0,0,0
,,DEPROSC-Nepal,,,0,,,,Normal,,,0,0,0,0
,,Deukhuri Fiber Net,,,0,,,,Normal,,,0,0,0,0
,,Dev Builders Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Devi Enterprises,,,0,,,,Normal,,,0,0,0,0
,,Devi Prasad Giri,,,0,,,,Normal,,,0,0,0,0
,,Devyani International Nepal Pvt. Ltd.,,,0,,,,Normal,4,,0,0,0,0
,,Dewanganj Rural Municipality,,,0,,,,Normal,,,0,0,0,0
,,DG Link Network Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Dhan bahadur kc,,,0,,,,Normal,,,0,0,0,0
,,Dhanusha Nirman Byabsay Sangha,,,0,,,,Normal,,,0,0,0,0
,,Dhanyanchal saving & credit Co operative Society Ltd,,,0,,,,Normal,,,0,0,0,0
,,Dharan Sub-Metropolitan City,,,0,,,,Normal,,,0,0,0,0
,,Dhaulagiri Community Resource Development Center,,,0,,,,Normal,,,0,0,0,0
,,Dhramaraj aryal,,,0,,,,Normal,,,0,0,0,0
,,Dhruva Mani Paudel,,,0,,,,Normal,,,0,0,0,0
,,Dhulikhel Hospital,,,0,,,,Normal,,,0,0,0,0
,,Diamond Gallery Pvt.Ltd,,,0,,,,Normal,,,0,0,0,0
,,Dibya Tara Sakya,,,0,,,,Normal,,,0,0,0,0
,,Digiage Media Pvt.Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Digifly Branding Agency Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Digipay (P) Ltd,,,0,,,,Normal,,,0,0,0,0
,,Digi Sense Nepal Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Digital Home International Pvt Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Digital Learning Nepal Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Digital Paints Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Digo Paryatan Co Operative Sanstha Limited,,,0,,,,Normal,,,0,0,0,0
,,Dikshalaya Nepal Foundation pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Diktel Rupakot Majhuwagadhi Municipality,,,0,,,,Normal,,,0,0,0,0
,,Dilan Bhattarai,,,0,,,,Normal,,,0,0,0,0
,,Dilip Aryal,,,0,,,,Normal,,,0,0,0,0
,,Dilip hajara,,,0,,,,Normal,,,0,0,0,0
,,Dilip Karki,,,0,,,,Normal,,,0,0,0,0
,,Dilip Prakash Karki,,,0,,,,Normal,,,0,0,0,0
,,Dinesh Bikram Shah,,,0,,,,Normal,,,0,0,0,0
,,Dipak Bhattrai,,,0,,,,Normal,,,0,0,0,0
,,Dipak Rijal,,,0,,,,Normal,,,0,0,0,0
,,Dipali pharmaceutic,,,0,,,,Normal,,,0,0,0,0
,,dipendra dhakal,,,0,,,,Normal,,,0,0,0,0
,,Dipendra Koirala,,,0,,,,Normal,,,0,0,0,0
,,Dipendra Oli,,,0,,,,Normal,,,0,0,0,0
,,Dipesh Joshi,,,0,,,,Normal,,,0,0,0,0
,,Direction Education Foundation Nepal Pvt. ltd.,,,0,,,,Normal,,,0,0,0,0
,,Dish Home( Cash)One Times,,,0,,,,Normal,,,0,0,0,0
,,Dish Media Network Ltd.,,,0,,,,Normal,6,,0,0,0,0
,,DI Skin Hospital and Referral Centre Pvt. Ltd.,,,0,,,,Normal,4,,0,0,0,0
,,District Cooperative,,,0,,,,Normal,,,0,0,0,0
,,Divine Himalayan Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Divya Technologies and Developers Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Diwash Shrestha,,,0,,,,Normal,,,0,0,0,0
,,Doctor Home Care Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Doctors at Door Step,,,0,,,,Normal,,,0,0,0,0
,,Doctors on call Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Dodhara Chandani Municipality,,,0,,,,Normal,,,0,0,0,0
,,Dolphin Education Consultancy Centre Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Dolphin Education Study Centre,,,0,,,,Normal,,,0,0,0,0
,,Downtown Housing Company Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,DREAM IT SOLUTION PVT LTD,,,0,,,,Normal,,,0,0,0,0
,,Dream Land Publication Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Dream Recruiting Service,,,0,,,,Normal,,,0,0,0,0
,,Drishti Media Group Of Company,,,0,,,,Normal,,,0,0,0,0
,,Drive Adventure Vehicle Service Pvt.Ltd,,,0,,,,Normal,,,0,0,0,0
,,Dr Lal Path Labs Nepal Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Dr. Rakesh Shah,,,0,,,,Normal,,,0,0,0,0
,,Dryice solutions pvt ltd,,,0,,,,Normal,,,0,0,0,0
,,DS Store Nepal Pvt.Ltd,,,0,,,,Normal,,,0,0,0,0
,,D Twenty Design Lab Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Dullu Municipality,,,0,,,,Normal,,,0,0,0,0
,,Dungeshwor Municipality,,,0,,,,Normal,,,0,0,0,0
,,Durga p dhakal,,,0,,,,Normal,,,0,0,0,0
,,Durga prasad gaytam sachibalaya,,,0,,,,Normal,,,0,0,0,0
,,Durga Psd Phuyal,,,0,,,,Normal,,,0,0,0,0
,,Dynamic Public School Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Dynamic Technosoft Pvt. Ltd.,,,0,,,,Normal,4,,0,0,0,0
,,Early Childhood Education Centre Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Eastern Agencies Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Eastern Sugar Mills Ltd.,,,0,,,,Normal,,,0,0,0,0
,,EastLink Technology Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,EastPole Higher Secondary School,,,0,,,,Normal,,,0,0,0,0
,,Easy Bus,,,0,,,,Normal,,,0,0,0,0
,,Easy Facilities Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Easygo Digital Technology Pvt Ltd.,,,0,,,,Normal,,,0,0,0,0
,,EasySoft Nepal,,,0,,,,Normal,,,0,0,0,0
,,Eat Ziffy Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Ebaari Private Limited,,,0,,,,Normal,,,0,0,0,0
,,Ebiz Links Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,ECAN,,,0,,,,Normal,,,0,0,0,0
,,ECEC Innovation in Education Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Echo Advertising Agency,,,0,,,,Normal,,,0,0,0,0
,,"ECHS Branch, Embassy of India",,,0,,,,Normal,4,,0,0,0,0
,,Eco-Infinity Pvt.Ltd,,,0,,,,Normal,,,0,0,0,0
,,Edify Media Pvt,,,0,,,,Normal,,,0,0,0,0
,,Educational Development Co-operative Society Ltd,,,0,,,,Normal,,,0,0,0,0
,,Educational Study Link,,,0,,,,Normal,,,0,0,0,0
,,Education Asia (P) LTD,,,0,,,,Normal,,,0,0,0,0
,,Education Dot Com Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,EDUCATION TREE GLOBAL PVT LTD,,,0,,,,Normal,,,0,0,0,0
,,Educity International Education Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Educonnect Consulting and Software Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,EduHub Global lalitpur,,,0,,,,Normal,,,0,0,0,0
,,Edupal Nepal Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Edu Park (P) Ltd,,,0,,,,Normal,,,0,0,0,0
,,EduQuest Nepal Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Edu Rider Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Edu Sanjal Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Edusoft Technologies Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Eduvibe Consultancy Pvt .Ltd,,,0,,,,Normal,,,0,0,0,0
,,Edwise Foundation Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,E.E.V.S Consultancy Birgunj PVT. LTD,,,0,,,,Normal,,,0,0,0,0
,,EEVS Dhangadi,,,0,,,,Normal,,,0,0,0,0
,,E-Hospital Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Eight Byte Studio Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Ekesh Khadka,,,0,,,,Normal,,,0,0,0,0
,,E.K.Solutions Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Ekta Bording School,,,0,,,,Normal,,,0,0,0,0
,,Election Kailash Goyal,,,0,,,,Normal,,,0,0,0,0
,,Election Office Ktm Area 5,,,0,,,,Normal,,,0,0,0,0
,,Elite Institute of Finance and Accountancy Pvt. ltd.,,,0,,,,Normal,,,0,0,0,0
,,Elite Motors Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Emero Plaza Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Eminent Educational Institution Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Empire Distribution Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Employees union,,,0,,,,Normal,,,0,0,0,0
,,ENCOUNTERSNEPAL.COM,,,0,,,,Normal,,,0,0,0,0
,,Encraft Technologies Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Engineer Sathi Saving and Credit cooperative Society Ltd,,,0,,,,Normal,,,0,0,0,0
,,Engineers Vlog,,,0,,,,Normal,,,0,0,0,0
,,Enhanced Vocational Education & Training,,,0,,,,Normal,,,0,0,0,0
,,ENSSURE/ HELVETAS Nepal,,,0,,,,Normal,,,0,0,0,0
,,Entrance Dose Private Limited,,,0,,,,Normal,,,0,0,0,0
,,Entrepreneurs Accountants Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Envy Trade,,,0,,,,Normal,,,0,0,0,0
,,E.O.L. Pvt. Ltd.,,,0,,,,Normal,4,,0,0,0,0
,,Eos Advisors,,,0,,,,Normal,,,0,0,0,0
,,ERA SOFT Solution,,,0,,,,Normal,,,0,0,0,0
,,ERM Concept Pvt. Ltd.,,,0,,,,Normal,6,,0,0,0,0
,,Er. Puspa Raj Ghimire,,,0,,,,Normal,,,0,0,0,0
,,Er. Satya Narayan Shah,,,0,,,,Normal,,,0,0,0,0
,,Eshare Solutions Pvt .ltd,,,0,,,,Normal,,,0,0,0,0
,,Eurasian School Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Euro Dream Education Consultancy Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Eval technologies Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Evash Consulting Pvt. Ltd.Evash Consulting Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Events Nepal & Advertising (P) Ltd,,,0,,,,Normal,,,0,0,0,0
,,Everest College,,,0,,,,Normal,,,0,0,0,0
,,Everest English School Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Everest Film Academy Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Everest FM,,,0,,,,Normal,,,0,0,0,0
,,Everest Map Stationery,,,0,,,,Normal,,,0,0,0,0
,,Everest World School,,,0,,,,Normal,,,0,0,0,0
,,Everest Worldtop Logistic pvt ltd,,,0,,,,Normal,,,0,0,0,0
,,Ever Prime Educational Consultancy Centre Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Everron education,,,0,,,,Normal,,,0,0,0,0
,,E. Vidhya Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Excel Education and Consulting Expert Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Expert Advisory Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Expert Education and Visa Services Nepal,,,0,,,,Normal,,,0,0,0,0
,,Expert Multinational Services Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Explore Vocational Academy Pvt.Ltd,,,0,,,,Normal,,,0,0,0,0
,,EXPORT VISION,,,0,,,,Normal,,,0,0,0,0
,,Express Eats Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,EYE NET COMMUNICATION PRIVATE LIMITED,,,0,,,,Normal,,,0,0,0,0
,,E-Zone International Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
