id,short_name,account_name,address,pan_number,balance,phone_number,email,contact_name,group,collector,guarantee_world_insurer,credit_limit,overdue120,grant_period,pause
,,"	ALD Suppliers",,,0,,,,Normal,,,0,0,0,0
,,"	A.R.M. Corp pvt.ltd",,,0,,,,Normal,,,0,0,0,0
,,"	Firmus Management Pvt. Ltd.",,,0,,,,Normal,,,0,0,0,0
,,"	Gandaki Nirman Samanwaya pvt ltd",,,0,,,,Normal,,,0,0,0,0
,,"	Mirmire Urja Bikash Sahakari Sanstha",,,0,,,,Normal,,,0,0,0,0
,,Aabash Computer Trade Link,,,0,,,,Normal,,,0,0,0,0
,,Aabhamarsh Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Aadarsha School of Management,,,0,,,,Normal,,,0,0,0,0
,,Aakar Tech,,,0,,,,Normal,,,0,0,0,0
,,Aalaukik Spanawati Saving & Credit Co-Operative Ltd,,,0,,,,Normal,,,0,0,0,0
,,Aanandam Nepal,,,0,,,,Normal,,,0,0,0,0
,,Aanand Prasad Dhungana,,,0,,,,Normal,,,0,0,0,0
,,Aanboo khaireni rural municipality,,,0,,,,Normal,,,0,0,0,0
,,Aarati Multipurpose Co-operative Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Aaru Pokhari Samaj Kathmandu,,,0,,,,Normal,,,0,0,0,0
,,Aarya Hospital Of neurosurgical and allied sciences Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Aash Bahadur Gurung,,,0,,,,Normal,,,0,0,0,0
,,Aashish Bohora,,,0,,,,Normal,,,0,0,0,0
,,Aashish Chaulagain,,,0,,,,Normal,,,0,0,0,0
,,Aashish super mart pvt.ltd,,,0,,,,Normal,,,0,0,0,0
,,Aatmoutsarga,,,0,,,,Normal,,,0,0,0,0
,,Aayam Intercontinental,,,0,,,,Normal,,,0,0,0,0
,,AAYO Group Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Abishek,,,0,,,,Normal,,,0,0,0,0
,,Abroad Academic Education Consultancy Global Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Academy of Culinary Arts & Hospitality Management,,,0,,,,Normal,,,0,0,0,0
,,Accountability Lab Nepal,,,0,,,,Normal,,,0,0,0,0
,,ACHAAR GHAR KATHMANDU PVT.LTD,,,0,,,,Normal,,,0,0,0,0
,,Achyut Adhikari,,,0,,,,Normal,,,0,0,0,0
,,Action Educational Consultancy Pvt. Ltd,,,0,,,,Normal,,,0,0,0,0
,,Acute medicare,,,0,,,,Normal,,,0,0,0,0
,,Adarsha Secondary School,,,0,,,,Normal,,,0,0,0,0
,,Adarsh Secondary School Nepalgunj Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Add Link It Solution,,,0,,,,Normal,,,0,0,0,0
,,Addon Engineering Solution Pvt Ltd,,,0,,,,Normal,,,0,0,0,0
,,Addressgraph Nepal Pvt Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Adhibesan uml,,,0,,,,Normal,,,0,0,0,0
,,Adhikari Kirana tatha Khadye Udhyog,,,0,,,,Normal,,,0,0,0,0
,,Adopt Ad Agency,,,0,,,,Normal,,,0,0,0,0
,,Advanced College of Engineering and Management,,,0,,,,Normal,,,0,0,0,0
,,Afjal Miya,,,0,,,,Normal,,,0,0,0,0
,,A.G.A. Technology Pvt. Ltd.,,,0,,,,Normal,,,0,0,0,0
,,Ageno the Hestia (P) Ltd,,,0,,,,Normal,,,0,0,0,0
,,Agni Cement Industries (P) Ltd,,,0,,,,Normal,,,0,0,0,0
,,Agni Incorporated Pvt. Ltd.,,,0,,,,Normal,4,,0,0,0,0
,,Agrawal Sewa Kendra,,,0,,,,Normal,,,0,0,0,0
